Amount Received,Amount Paid,Payment Format,Year,Month
261.87,207.07,Debit Card,2022,2
231.8,421.01,Bank Transfer,2022,8
206.39,491.18,Bank Transfer,2023,8
225.22,407.03,Bank Transfer,2022,6
469.66,138.27,Bank Transfer,2023,4
483.87,491.01,Credit Card,2022,8
139.53,368.3,Bank Transfer,2023,9
394.17,133.59,Bank Transfer,2022,11
363.11,487.63,Bank Transfer,2023,2
352.39,346.97,Debit Card,2021,8
113.14,109.96,Cash,2023,2
209.38,189.81,Cash,2023,9
398.44,307.71,Debit Card,2023,4
298.32,477.44,Credit Card,2023,9
109.56,120.24,Debit Card,2023,3
310.61,281.13,Debit Card,2023,6
439.12,136.21,Credit Card,2022,2
451.37,265.51,Bank Transfer,2022,5
459.45,154.55,Cash,2023,11
310.93,431.08,Debit Card,2022,5
286.79,223.68,Bank Transfer,2022,4
197.74,406.53,Debit Card,2022,9
446.43,145.31,Credit Card,2023,6
419.94,484.36,Bank Transfer,2023,6
445.43,324.33,Cash,2022,6
190.38,194.79,Bank Transfer,2022,3
139.16,420.87,Debit Card,2022,12
379.38,330.94,Bank Transfer,2022,1
465.26,197.1,Debit Card,2023,8
466.63,364.47,Cash,2021,2
311.45,353.18,Cash,2023,9
356.84,484.66,Credit Card,2022,6
144.83,387.41,Bank Transfer,2023,1
210.12,365.61,Cash,2023,5
315.1,224.73,Debit Card,2021,10
452.31,410.51,Cash,2021,5
293.66,134.82,Credit Card,2021,2
337.08,146.85,Bank Transfer,2022,9
122.21,172.29,Debit Card,2021,9
485.86,342.77,Credit Card,2023,2
296.97,176.51,Debit Card,2022,12
164.11,100.07,Debit Card,2023,10
235.59,333.14,Credit Card,2023,11
305.32,213.55,Bank Transfer,2021,9
155.41,355.53,Cash,2023,10
178.66,291.98,Bank Transfer,2021,12
466.36,445.31,Credit Card,2022,8
449.02,109.42,Bank Transfer,2022,12
148.92,326.81,Credit Card,2022,1
211.6,289.65,Bank Transfer,2021,10
354.23,370.05,Debit Card,2021,8
203.9,327.67,Cash,2023,7
100.83,483.45,Debit Card,2022,3
380.49,200.63,Bank Transfer,2023,11
177.23,369.3,Cash,2022,5
229.98,417.36,Credit Card,2023,7
213.57,309.9,Credit Card,2022,9
160.95,212.23,Debit Card,2023,8
154.27,240.63,Credit Card,2022,8
157.97,281.88,Cash,2021,5
487.0,143.41,Bank Transfer,2022,9
390.74,227.5,Debit Card,2023,10
476.03,127.88,Bank Transfer,2021,11
328.62,280.5,Bank Transfer,2021,5
232.4,195.37,Credit Card,2021,9
165.57,327.03,Credit Card,2021,3
293.34,446.28,Cash,2021,10
297.36,179.35,Credit Card,2021,1
410.99,252.3,Bank Transfer,2022,11
311.38,152.74,Bank Transfer,2023,11
177.94,294.72,Bank Transfer,2022,9
425.68,287.29,Bank Transfer,2022,6
159.17,291.63,Debit Card,2021,11
311.57,495.19,Bank Transfer,2021,4
116.99,109.34,Cash,2023,9
247.67,239.87,Debit Card,2022,11
368.75,362.0,Debit Card,2023,4
155.48,177.8,Credit Card,2023,10
309.95,386.76,Bank Transfer,2021,6
315.54,151.09,Cash,2023,12
463.74,280.03,Cash,2022,6
286.65,367.44,Cash,2021,3
131.34,146.65,Cash,2023,9
158.37,467.36,Cash,2021,7
210.24,241.56,Cash,2023,2
419.58,451.38,Credit Card,2023,12
202.04,391.54,Debit Card,2023,4
343.77,169.68,Cash,2023,1
131.35,470.5,Bank Transfer,2021,1
180.86,226.08,Cash,2023,5
347.66,295.99,Bank Transfer,2022,1
139.26,387.54,Debit Card,2021,6
386.22,471.46,Debit Card,2021,8
279.64,226.2,Bank Transfer,2021,11
211.83,450.04,Cash,2022,10
449.56,158.44,Bank Transfer,2021,9
369.26,452.73,Bank Transfer,2023,6
125.67,420.73,Bank Transfer,2021,5
368.08,231.17,Credit Card,2022,8
179.35,215.35,Debit Card,2022,4
468.1,400.63,Debit Card,2021,9
161.49,229.43,Credit Card,2022,1
346.68,398.42,Credit Card,2023,11
196.96,363.33,Cash,2021,8
476.87,339.12,Cash,2023,6
229.79,212.91,Debit Card,2023,10
335.85,357.33,Debit Card,2023,5
151.8,307.4,Bank Transfer,2021,12
291.75,110.94,Debit Card,2021,4
343.53,464.77,Cash,2022,8
408.28,295.41,Debit Card,2021,2
322.83,451.15,Debit Card,2023,8
381.44,106.75,Debit Card,2022,3
443.63,413.42,Cash,2023,2
219.42,481.6,Cash,2021,2
236.07,235.07,Credit Card,2022,10
111.83,341.82,Bank Transfer,2021,8
321.7,100.76,Cash,2022,12
488.61,245.8,Credit Card,2021,9
394.44,247.99,Credit Card,2021,3
497.03,464.11,Credit Card,2022,1
281.74,234.4,Credit Card,2021,12
398.99,407.63,Cash,2022,8
164.48,453.35,Cash,2022,9
268.8,457.4,Cash,2021,1
357.45,273.87,Bank Transfer,2023,8
280.12,485.57,Bank Transfer,2022,5
111.89,489.41,Debit Card,2021,9
226.74,429.95,Bank Transfer,2023,4
370.43,457.16,Credit Card,2021,2
258.08,133.81,Debit Card,2023,1
279.36,272.34,Cash,2023,9
442.47,254.09,Credit Card,2022,7
207.76,179.71,Credit Card,2021,12
346.37,230.29,Cash,2021,7
438.31,203.3,Debit Card,2021,7
422.86,355.56,Cash,2021,9
195.49,224.85,Debit Card,2023,6
120.44,219.38,Cash,2023,3
210.73,168.48,Bank Transfer,2021,2
170.56,198.76,Debit Card,2021,6
111.08,338.4,Cash,2023,8
221.74,353.39,Bank Transfer,2021,12
308.32,269.23,Cash,2021,10
360.13,379.31,Bank Transfer,2021,2
251.16,166.13,Debit Card,2023,9
181.71,321.31,Debit Card,2022,7
327.72,366.85,Cash,2021,8
400.95,354.28,Cash,2021,8
377.98,310.2,Bank Transfer,2021,1
442.79,149.08,Debit Card,2022,6
205.55,127.11,Bank Transfer,2021,8
301.2,231.55,Cash,2021,9
295.37,268.77,Debit Card,2023,1
228.63,180.9,Cash,2022,4
374.57,198.36,Bank Transfer,2023,6
153.69,100.62,Bank Transfer,2021,8
422.06,165.88,Debit Card,2021,9
114.65,118.46,Bank Transfer,2021,12
255.27,297.0,Bank Transfer,2021,10
342.93,383.55,Debit Card,2023,6
269.75,420.67,Debit Card,2023,9
362.28,358.37,Debit Card,2021,8
115.52,206.83,Credit Card,2023,7
446.86,256.12,Credit Card,2021,7
131.06,298.04,Cash,2021,4
215.1,217.56,Bank Transfer,2022,11
217.35,334.72,Debit Card,2022,5
104.73,297.43,Credit Card,2023,8
137.61,417.79,Bank Transfer,2023,7
440.75,460.77,Credit Card,2022,6
410.33,252.91,Bank Transfer,2023,11
395.2,451.11,Debit Card,2023,1
375.72,315.11,Debit Card,2021,4
129.81,205.33,Credit Card,2022,9
219.46,451.16,Bank Transfer,2023,2
102.63,470.97,Credit Card,2021,3
124.21,461.23,Cash,2021,1
115.16,278.22,Cash,2023,11
179.57,315.48,Debit Card,2021,6
122.51,162.51,Bank Transfer,2023,2
106.75,475.16,Cash,2022,9
197.97,114.24,Cash,2022,5
419.54,429.5,Debit Card,2022,4
122.52,181.29,Debit Card,2023,6
493.82,225.39,Debit Card,2023,12
363.03,385.72,Credit Card,2021,11
446.73,126.43,Debit Card,2023,6
364.28,409.63,Cash,2022,6
410.75,121.16,Cash,2022,6
220.31,431.44,Bank Transfer,2023,3
202.93,300.77,Debit Card,2021,6
365.77,467.21,Bank Transfer,2023,12
325.26,323.35,Bank Transfer,2021,1
302.27,187.38,Bank Transfer,2022,11
170.9,194.13,Cash,2023,5
192.26,287.23,Debit Card,2023,12
319.89,496.82,Cash,2023,10
263.97,245.66,Cash,2022,11
485.0,424.76,Credit Card,2023,3
321.13,330.13,Cash,2021,1
272.68,475.39,Bank Transfer,2022,6
480.24,400.18,Credit Card,2021,7
136.65,107.24,Cash,2022,6
208.71,138.97,Credit Card,2023,12
238.56,167.8,Cash,2023,4
441.4,295.39,Debit Card,2021,10
406.56,428.77,Bank Transfer,2022,1
221.89,446.22,Cash,2022,8
449.03,309.85,Cash,2023,11
125.02,345.51,Cash,2021,1
297.39,191.77,Credit Card,2023,8
361.87,131.96,Debit Card,2023,1
224.88,127.76,Credit Card,2022,12
127.67,142.39,Credit Card,2021,10
202.86,224.48,Bank Transfer,2021,7
293.51,245.62,Debit Card,2021,5
227.24,445.77,Credit Card,2023,11
266.27,472.76,Bank Transfer,2021,9
137.25,162.45,Credit Card,2021,4
105.71,386.57,Debit Card,2022,1
451.05,326.58,Credit Card,2022,8
131.24,325.65,Cash,2023,2
217.13,312.09,Debit Card,2022,3
365.62,135.41,Cash,2021,7
437.8,165.01,Bank Transfer,2022,9
228.51,236.37,Cash,2022,4
360.83,264.3,Debit Card,2022,3
288.85,108.15,Debit Card,2023,6
120.41,114.77,Bank Transfer,2022,2
263.35,137.49,Cash,2021,4
111.94,126.26,Debit Card,2023,11
485.68,473.07,Debit Card,2021,7
404.87,187.66,Cash,2021,10
235.72,484.24,Bank Transfer,2022,7
193.9,129.24,Debit Card,2023,4
260.13,431.88,Bank Transfer,2021,9
226.47,336.13,Cash,2022,12
248.32,259.91,Bank Transfer,2023,12
467.49,304.45,Cash,2021,1
261.81,497.36,Cash,2022,3
396.56,159.06,Bank Transfer,2023,6
162.73,280.24,Bank Transfer,2021,7
313.47,495.97,Bank Transfer,2023,4
297.49,357.68,Cash,2021,7
336.49,496.19,Cash,2022,2
371.95,145.2,Credit Card,2021,3
444.41,160.88,Bank Transfer,2022,9
191.99,213.84,Credit Card,2023,9
252.61,352.52,Debit Card,2023,6
122.87,224.49,Debit Card,2021,3
349.67,351.74,Bank Transfer,2021,4
473.9,120.23,Cash,2021,3
258.48,189.11,Debit Card,2023,7
488.7,276.89,Debit Card,2023,7
339.15,289.12,Credit Card,2022,9
184.5,282.17,Debit Card,2022,6
311.81,313.18,Bank Transfer,2021,6
356.02,267.1,Credit Card,2021,8
366.51,461.37,Bank Transfer,2023,11
355.22,422.52,Credit Card,2021,2
175.85,269.18,Cash,2022,1
183.32,428.86,Credit Card,2023,3
196.59,413.8,Debit Card,2022,9
393.2,314.88,Bank Transfer,2022,7
299.74,326.78,Debit Card,2021,10
368.5,291.71,Debit Card,2023,2
419.75,320.14,Credit Card,2021,8
325.63,304.03,Credit Card,2021,2
288.46,210.44,Bank Transfer,2021,3
261.01,235.79,Credit Card,2021,9
314.51,489.75,Debit Card,2021,9
159.83,489.05,Bank Transfer,2023,2
414.58,129.8,Credit Card,2023,9
465.1,436.19,Credit Card,2023,7
424.95,437.9,Bank Transfer,2022,12
428.76,363.15,Debit Card,2021,1
431.76,464.61,Bank Transfer,2023,8
170.26,475.21,Cash,2022,4
498.33,243.22,Cash,2023,10
362.87,473.29,Cash,2021,7
268.37,254.87,Bank Transfer,2022,9
455.21,267.76,Credit Card,2021,9
332.94,317.23,Debit Card,2023,12
497.45,460.66,Debit Card,2021,3
400.83,227.02,Debit Card,2022,4
247.0,365.6,Cash,2022,10
397.02,260.77,Credit Card,2021,2
392.04,363.54,Bank Transfer,2023,11
225.2,433.44,Cash,2023,7
453.67,231.5,Debit Card,2022,10
156.31,194.69,Bank Transfer,2021,4
246.11,451.94,Cash,2022,2
354.51,258.81,Bank Transfer,2021,1
291.66,378.93,Credit Card,2023,4
371.26,338.2,Cash,2023,8
498.94,424.91,Debit Card,2022,4
131.2,120.39,Cash,2023,8
403.59,148.37,Cash,2021,3
426.97,280.81,Credit Card,2022,12
212.88,171.75,Credit Card,2021,8
202.06,300.82,Cash,2022,12
276.54,229.18,Credit Card,2021,10
257.54,387.82,Bank Transfer,2023,6
303.13,415.01,Debit Card,2022,6
184.63,377.17,Cash,2022,12
297.52,199.22,Bank Transfer,2021,8
425.1,220.75,Debit Card,2023,4
453.15,117.87,Credit Card,2021,5
366.7,425.91,Bank Transfer,2022,4
215.25,302.09,Credit Card,2023,9
449.3,219.67,Cash,2023,7
268.49,370.32,Cash,2022,12
192.72,483.64,Debit Card,2022,4
153.84,133.02,Bank Transfer,2022,10
484.67,399.22,Debit Card,2023,3
135.19,274.27,Debit Card,2022,6
311.9,227.71,Credit Card,2021,6
180.87,274.4,Credit Card,2023,9
447.31,180.71,Debit Card,2022,5
177.81,177.13,Debit Card,2022,4
394.59,227.34,Cash,2023,1
166.05,458.99,Credit Card,2021,6
475.24,121.83,Credit Card,2022,2
365.33,220.51,Debit Card,2023,9
266.05,199.09,Credit Card,2022,11
484.99,340.51,Credit Card,2023,4
309.62,182.83,Credit Card,2022,2
253.63,104.27,Debit Card,2022,3
164.99,161.54,Cash,2022,11
388.44,244.77,Debit Card,2021,11
338.53,421.39,Debit Card,2023,9
189.16,438.77,Credit Card,2023,12
199.98,358.64,Debit Card,2022,1
188.15,265.54,Bank Transfer,2023,7
298.34,360.62,Bank Transfer,2021,12
118.92,178.1,Debit Card,2022,6
215.7,416.43,Debit Card,2021,4
394.65,277.31,Credit Card,2023,7
348.49,486.19,Cash,2023,1
427.44,203.24,Bank Transfer,2023,8
397.93,355.78,Bank Transfer,2021,6
108.51,441.42,Bank Transfer,2022,11
327.83,198.52,Credit Card,2022,4
275.37,108.8,Credit Card,2022,12
244.52,274.81,Cash,2021,5
496.95,304.75,Cash,2023,7
362.79,186.42,Cash,2023,5
200.43,421.82,Bank Transfer,2022,5
313.15,391.58,Cash,2023,6
138.09,326.14,Credit Card,2023,11
398.11,493.28,Debit Card,2023,7
239.06,326.46,Cash,2021,1
167.55,265.55,Cash,2023,3
164.97,160.47,Debit Card,2023,3
106.09,487.37,Debit Card,2023,1
411.15,280.4,Credit Card,2023,4
391.48,233.82,Debit Card,2022,7
294.01,407.98,Cash,2023,5
222.39,420.82,Cash,2022,1
256.64,136.66,Cash,2021,11
453.64,134.93,Cash,2021,5
148.52,135.43,Bank Transfer,2023,2
111.83,113.37,Cash,2022,8
186.29,324.67,Bank Transfer,2022,6
308.27,173.56,Bank Transfer,2023,7
103.07,367.38,Bank Transfer,2021,12
141.71,439.21,Bank Transfer,2023,3
379.15,310.67,Cash,2021,6
279.23,431.68,Bank Transfer,2022,2
479.46,246.74,Credit Card,2021,7
464.31,416.51,Cash,2023,6
210.58,433.43,Cash,2023,3
251.09,194.28,Debit Card,2021,3
467.27,496.1,Debit Card,2022,10
331.7,389.67,Bank Transfer,2021,12
247.89,119.88,Bank Transfer,2021,12
420.16,165.78,Bank Transfer,2023,2
469.8,434.47,Bank Transfer,2023,1
369.4,344.42,Bank Transfer,2023,6
192.36,276.32,Cash,2022,1
427.7,315.84,Bank Transfer,2023,8
268.21,214.14,Credit Card,2021,11
379.22,330.17,Credit Card,2022,8
294.54,109.42,Credit Card,2022,2
476.35,485.78,Credit Card,2023,10
127.35,499.98,Cash,2021,5
162.32,190.8,Credit Card,2023,6
177.83,242.9,Credit Card,2022,5
188.4,231.36,Cash,2023,12
194.17,199.14,Bank Transfer,2022,8
161.14,143.83,Bank Transfer,2021,9
377.17,375.58,Cash,2023,5
187.26,233.71,Cash,2023,12
194.18,178.2,Bank Transfer,2021,7
178.96,312.97,Debit Card,2023,12
259.47,249.65,Bank Transfer,2023,2
483.44,142.68,Debit Card,2022,12
246.71,254.46,Debit Card,2022,5
219.05,384.99,Credit Card,2023,5
127.44,332.39,Debit Card,2022,6
241.01,285.26,Debit Card,2022,11
192.88,477.46,Cash,2022,12
405.17,396.96,Debit Card,2023,5
144.65,477.79,Debit Card,2021,10
157.47,421.04,Bank Transfer,2021,7
211.4,161.62,Debit Card,2022,11
215.21,182.75,Credit Card,2022,8
438.52,126.43,Credit Card,2022,9
416.51,258.7,Debit Card,2021,2
331.45,297.58,Cash,2023,5
215.44,495.9,Debit Card,2021,1
227.55,461.61,Bank Transfer,2023,10
336.89,185.02,Bank Transfer,2021,4
395.95,259.42,Debit Card,2022,11
253.64,305.87,Cash,2021,10
303.82,329.1,Debit Card,2022,9
455.21,194.81,Debit Card,2022,10
359.92,215.42,Debit Card,2023,10
314.22,346.3,Bank Transfer,2022,4
128.49,235.07,Debit Card,2021,9
170.41,387.89,Credit Card,2023,7
180.4,219.34,Debit Card,2021,10
349.26,184.17,Cash,2022,4
143.25,315.06,Cash,2021,6
111.6,142.4,Credit Card,2021,6
244.14,473.89,Credit Card,2023,6
387.54,189.1,Cash,2022,12
377.3,284.65,Cash,2023,12
417.07,386.26,Cash,2022,2
378.5,341.74,Debit Card,2023,9
345.31,216.52,Bank Transfer,2021,11
294.46,474.35,Bank Transfer,2021,2
183.4,282.53,Credit Card,2023,8
327.42,372.52,Credit Card,2021,8
354.65,158.02,Bank Transfer,2023,12
149.5,204.92,Bank Transfer,2023,7
326.06,165.35,Bank Transfer,2022,5
139.1,345.25,Cash,2021,10
318.83,131.62,Credit Card,2022,12
163.57,268.92,Cash,2022,12
147.61,263.26,Cash,2021,6
145.24,172.96,Debit Card,2021,3
464.41,172.63,Debit Card,2023,11
339.23,231.31,Bank Transfer,2021,3
200.06,307.06,Credit Card,2022,6
128.58,345.24,Bank Transfer,2023,1
314.47,383.13,Bank Transfer,2023,1
157.92,424.28,Credit Card,2023,4
411.36,260.65,Bank Transfer,2023,1
298.44,264.9,Cash,2021,4
390.58,322.8,Debit Card,2022,5
258.29,419.62,Credit Card,2023,7
380.93,329.84,Bank Transfer,2022,5
373.85,162.14,Debit Card,2021,9
324.57,156.86,Debit Card,2021,3
438.3,130.89,Credit Card,2021,5
332.99,101.17,Bank Transfer,2022,6
331.24,400.35,Credit Card,2023,2
223.19,162.08,Bank Transfer,2021,10
472.6,120.24,Bank Transfer,2022,2
306.86,381.27,Debit Card,2022,6
256.69,262.73,Cash,2022,11
316.66,410.09,Debit Card,2023,11
158.1,362.71,Credit Card,2023,1
206.05,271.27,Credit Card,2022,2
222.67,493.82,Debit Card,2022,9
306.06,138.37,Debit Card,2022,1
378.2,119.5,Cash,2023,6
214.88,232.44,Debit Card,2021,5
154.31,485.32,Credit Card,2021,1
323.69,105.32,Credit Card,2021,8
441.86,124.06,Bank Transfer,2023,3
267.29,460.42,Debit Card,2021,5
290.31,455.74,Cash,2021,4
215.68,431.7,Credit Card,2022,6
423.53,374.67,Debit Card,2023,2
148.27,470.33,Cash,2023,2
168.44,359.87,Cash,2023,7
499.98,232.14,Bank Transfer,2021,3
372.89,469.57,Credit Card,2021,5
319.22,154.66,Credit Card,2022,5
418.04,414.39,Cash,2022,7
498.75,104.71,Cash,2021,9
176.35,247.43,Cash,2023,5
416.56,491.42,Debit Card,2021,7
236.86,145.97,Bank Transfer,2023,6
392.49,353.33,Cash,2023,5
383.06,458.24,Credit Card,2023,5
499.33,199.62,Bank Transfer,2021,7
144.75,179.7,Credit Card,2021,1
100.85,413.54,Credit Card,2021,7
399.11,167.18,Debit Card,2022,9
327.51,447.92,Credit Card,2021,2
376.35,357.38,Bank Transfer,2023,9
401.41,448.08,Bank Transfer,2023,8
297.4,492.3,Bank Transfer,2022,8
242.61,367.43,Bank Transfer,2021,7
408.15,456.96,Credit Card,2022,4
252.05,375.48,Credit Card,2022,9
348.88,120.4,Credit Card,2021,3
457.36,124.99,Credit Card,2023,2
163.36,177.65,Bank Transfer,2022,11
103.56,334.96,Debit Card,2022,7
202.7,290.18,Debit Card,2023,11
418.99,364.83,Bank Transfer,2022,2
326.73,223.55,Debit Card,2021,6
478.46,115.82,Credit Card,2021,5
319.15,257.22,Debit Card,2023,4
206.31,197.75,Bank Transfer,2021,7
406.35,239.78,Credit Card,2022,2
363.02,479.41,Bank Transfer,2023,2
428.27,475.36,Bank Transfer,2022,2
367.2,223.62,Bank Transfer,2021,7
280.78,214.67,Bank Transfer,2021,5
210.83,172.96,Credit Card,2023,7
122.24,472.06,Credit Card,2021,9
223.17,192.75,Credit Card,2022,8
118.5,267.97,Cash,2021,6
272.01,378.53,Cash,2022,2
190.32,395.81,Bank Transfer,2023,12
381.46,497.07,Debit Card,2021,9
188.07,154.5,Bank Transfer,2023,8
132.57,260.5,Bank Transfer,2023,3
435.52,326.33,Bank Transfer,2022,12
124.01,424.8,Debit Card,2022,1
400.38,238.38,Credit Card,2022,1
471.77,461.44,Cash,2021,6
142.85,480.33,Debit Card,2022,12
323.87,491.38,Debit Card,2021,11
280.69,152.26,Credit Card,2021,9
419.48,165.72,Credit Card,2021,2
349.39,227.06,Credit Card,2021,12
211.31,267.86,Bank Transfer,2021,12
100.59,499.04,Cash,2021,9
293.15,408.89,Credit Card,2022,3
457.64,359.21,Cash,2022,6
462.15,387.79,Debit Card,2023,11
150.12,240.64,Bank Transfer,2021,1
444.27,356.78,Debit Card,2021,12
113.77,115.71,Cash,2023,6
136.94,210.35,Credit Card,2023,10
486.49,493.49,Debit Card,2022,12
254.79,320.84,Credit Card,2023,9
128.31,405.22,Bank Transfer,2023,10
288.18,348.19,Bank Transfer,2021,2
118.45,400.08,Credit Card,2022,10
106.55,298.63,Debit Card,2022,11
324.7,499.28,Bank Transfer,2023,11
184.48,469.83,Debit Card,2021,11
348.77,441.05,Debit Card,2022,12
233.88,128.9,Cash,2021,6
152.99,104.64,Debit Card,2023,1
493.76,246.63,Cash,2023,5
199.98,319.13,Debit Card,2022,1
124.79,228.18,Credit Card,2021,3
211.53,373.35,Credit Card,2021,9
200.68,182.0,Credit Card,2022,6
219.86,264.28,Debit Card,2021,10
242.27,388.78,Cash,2022,7
422.07,247.13,Cash,2021,2
123.91,496.56,Cash,2022,4
241.81,305.57,Debit Card,2021,1
141.5,420.4,Cash,2023,9
492.88,325.64,Bank Transfer,2021,3
157.59,370.35,Credit Card,2022,12
291.61,357.18,Debit Card,2021,5
292.02,119.24,Bank Transfer,2023,5
412.47,411.55,Debit Card,2022,2
208.86,193.12,Cash,2021,12
395.11,222.2,Debit Card,2022,8
110.54,150.02,Bank Transfer,2023,12
470.86,293.29,Credit Card,2022,8
139.58,278.12,Debit Card,2023,6
292.33,219.62,Cash,2022,10
169.37,497.02,Debit Card,2022,4
247.45,466.56,Debit Card,2021,10
356.81,142.05,Credit Card,2022,6
156.99,395.62,Debit Card,2022,4
215.64,234.81,Debit Card,2022,5
371.67,362.57,Credit Card,2021,10
437.82,449.96,Credit Card,2021,6
337.16,390.15,Bank Transfer,2022,10
309.19,107.8,Debit Card,2023,2
143.84,454.82,Debit Card,2022,9
158.62,339.85,Cash,2022,8
483.28,442.94,Bank Transfer,2023,2
101.05,478.83,Credit Card,2023,1
293.77,407.75,Cash,2023,4
402.54,300.46,Credit Card,2023,4
183.99,159.77,Credit Card,2023,10
283.83,414.26,Bank Transfer,2021,12
297.22,303.98,Debit Card,2021,6
204.16,467.27,Debit Card,2022,5
451.5,474.82,Cash,2021,1
470.06,135.83,Cash,2023,9
399.73,373.47,Bank Transfer,2021,1
103.45,355.99,Credit Card,2021,11
351.57,301.49,Credit Card,2022,4
192.84,195.04,Debit Card,2023,12
206.87,220.84,Bank Transfer,2022,9
173.52,342.09,Credit Card,2021,3
328.96,472.9,Cash,2021,11
278.69,479.23,Debit Card,2022,6
177.43,377.96,Debit Card,2023,6
473.06,100.81,Cash,2023,12
195.69,172.46,Bank Transfer,2022,12
411.5,110.12,Cash,2021,2
109.88,144.18,Bank Transfer,2022,2
173.39,238.63,Debit Card,2023,3
427.55,198.41,Credit Card,2023,4
314.57,385.6,Debit Card,2023,11
358.44,129.99,Credit Card,2022,2
271.56,447.43,Credit Card,2022,5
274.25,159.1,Bank Transfer,2022,7
150.16,284.4,Credit Card,2023,11
168.4,494.47,Debit Card,2022,10
467.6,112.62,Debit Card,2023,9
283.05,464.01,Bank Transfer,2022,9
288.98,462.56,Cash,2023,5
366.53,338.49,Credit Card,2023,8
105.65,423.75,Cash,2022,4
313.08,191.04,Cash,2022,6
454.13,287.07,Credit Card,2022,8
266.92,475.86,Credit Card,2021,9
265.04,317.1,Credit Card,2022,2
281.32,495.83,Bank Transfer,2023,3
442.04,329.08,Bank Transfer,2022,10
344.0,214.4,Credit Card,2022,7
398.94,311.92,Credit Card,2021,10
387.26,229.08,Cash,2022,7
120.34,215.51,Credit Card,2021,8
490.68,356.66,Debit Card,2022,4
382.48,471.28,Bank Transfer,2022,2
332.05,199.35,Debit Card,2021,10
118.07,249.91,Debit Card,2022,11
467.23,173.62,Bank Transfer,2021,9
287.82,144.08,Credit Card,2021,3
464.48,254.71,Debit Card,2023,8
267.36,466.97,Credit Card,2021,10
330.92,290.64,Credit Card,2021,7
457.49,280.38,Cash,2021,1
284.33,480.93,Cash,2022,12
171.81,485.87,Bank Transfer,2022,9
270.03,306.36,Debit Card,2022,5
252.65,376.45,Bank Transfer,2023,11
392.35,352.77,Debit Card,2023,1
436.29,247.51,Cash,2023,10
104.53,447.72,Credit Card,2021,3
297.93,308.5,Credit Card,2023,9
206.91,362.06,Cash,2023,7
165.77,270.69,Debit Card,2021,9
366.28,116.5,Bank Transfer,2022,7
434.22,234.61,Cash,2022,11
317.76,217.9,Debit Card,2023,6
177.52,151.35,Bank Transfer,2023,10
400.51,156.12,Bank Transfer,2022,3
308.53,458.43,Credit Card,2022,9
421.86,366.56,Cash,2022,7
485.89,275.27,Bank Transfer,2023,2
267.74,425.69,Credit Card,2021,2
227.6,229.56,Credit Card,2021,11
212.83,219.31,Cash,2023,7
376.39,449.11,Credit Card,2023,7
488.75,289.04,Bank Transfer,2023,4
214.33,142.56,Bank Transfer,2021,12
284.91,104.83,Bank Transfer,2023,1
330.53,395.4,Cash,2021,4
481.57,365.13,Bank Transfer,2023,11
198.86,413.01,Cash,2023,7
484.65,101.98,Credit Card,2022,10
309.61,213.66,Credit Card,2022,5
391.35,367.39,Credit Card,2021,8
412.54,374.1,Debit Card,2022,5
165.84,296.93,Debit Card,2023,12
489.9,136.74,Credit Card,2021,6
490.45,267.67,Cash,2023,9
446.47,324.9,Bank Transfer,2021,6
437.34,495.48,Cash,2023,12
230.51,272.14,Bank Transfer,2023,11
440.83,362.45,Debit Card,2023,3
455.33,439.62,Credit Card,2023,1
206.61,275.95,Credit Card,2023,4
168.26,161.99,Credit Card,2022,8
402.79,416.0,Cash,2021,9
331.09,476.47,Credit Card,2023,8
143.15,372.64,Debit Card,2021,4
259.8,343.81,Credit Card,2021,3
232.8,452.0,Credit Card,2023,9
364.28,469.81,Debit Card,2023,4
268.16,209.43,Cash,2023,4
359.47,430.11,Debit Card,2022,6
419.76,186.07,Cash,2022,2
382.83,190.18,Cash,2023,11
347.01,257.71,Debit Card,2023,10
462.59,194.58,Bank Transfer,2023,5
199.11,415.67,Bank Transfer,2023,5
303.02,326.68,Debit Card,2021,11
402.44,487.34,Debit Card,2022,6
189.61,240.54,Bank Transfer,2023,7
184.68,401.5,Bank Transfer,2021,2
373.71,452.7,Bank Transfer,2023,3
412.26,350.96,Debit Card,2021,2
454.55,371.66,Cash,2021,8
279.33,265.22,Credit Card,2021,8
386.52,293.23,Credit Card,2022,11
168.38,332.07,Debit Card,2023,5
225.9,186.27,Cash,2023,10
352.85,122.37,Debit Card,2023,2
159.15,130.25,Bank Transfer,2023,4
482.27,477.34,Bank Transfer,2023,10
151.14,338.55,Cash,2022,12
410.71,102.15,Debit Card,2021,11
227.45,147.62,Cash,2023,3
393.16,416.29,Credit Card,2022,2
261.9,230.45,Debit Card,2023,10
399.05,387.54,Cash,2021,12
460.14,390.44,Bank Transfer,2023,3
338.46,388.62,Debit Card,2023,10
165.57,109.17,Cash,2023,10
480.43,206.57,Bank Transfer,2021,5
312.99,219.0,Credit Card,2022,6
195.77,143.38,Credit Card,2023,3
263.37,278.2,Credit Card,2022,5
388.44,466.47,Debit Card,2021,2
474.12,137.17,Bank Transfer,2023,3
462.63,180.0,Cash,2023,7
156.12,280.65,Credit Card,2021,6
448.72,262.4,Debit Card,2021,7
336.07,372.37,Credit Card,2023,2
263.87,179.5,Bank Transfer,2021,10
285.75,259.18,Bank Transfer,2023,10
417.84,426.48,Cash,2022,1
